dateId,areaCode,country,areaName,hospitalizedCases,isLeaf
20220221,386011,si,pomurska,70,True
20220221,386012,si,podravska,137,True
20220221,386013,si,koroska,32,True
20220221,386014,si,savinjska,59,True
20220221,386015,si,zasavska,14,True
20220221,386016,si,posavska,25,True
20220221,386017,si,jugovzhodna_slovenija,42,True
20220221,386021,si,osrednjeslovenska,192,True
20220221,386022,si,gorenjska,44,True
20220221,386023,si,goriska,50,True
20220221,386024,si,obalno_kraska,37,True
20220220,386011,si,pomurska,68,True
20220220,386012,si,podravska,135,True
20220220,386013,si,koroska,32,True
20220220,386014,si,savinjska,68,True
20220220,386015,si,zasavska,12,True
20220220,386016,si,posavska,25,True
20220220,386017,si,jugovzhodna_slovenija,46,True
20220220,386021,si,osrednjeslovenska,191,True
20220220,386022,si,gorenjska,40,True
20220220,386023,si,goriska,49,True
20220220,386024,si,obalno_kraska,37,True
20220219,386011,si,pomurska,63,True
20220219,386012,si,podravska,131,True
20220219,386013,si,koroska,33,True
20220219,386014,si,savinjska,58,True
20220219,386015,si,zasavska,14,True
20220219,386016,si,posavska,24,True
20220219,386017,si,jugovzhodna_slovenija,46,True
20220219,386021,si,osrednjeslovenska,190,True
20220219,386022,si,gorenjska,39,True
20220219,386023,si,goriska,50,True
20220219,386024,si,obalno_kraska,41,True
20220218,386011,si,pomurska,62,True
20220218,386012,si,podravska,136,True
20220218,386013,si,koroska,30,True
20220218,386014,si,savinjska,61,True
20220218,386015,si,zasavska,11,True
20220218,386016,si,posavska,25,True
20220218,386017,si,jugovzhodna_slovenija,49,True
20220218,386021,si,osrednjeslovenska,191,True
20220218,386022,si,gorenjska,40,True
20220218,386023,si,goriska,50,True
20220218,386024,si,obalno_kraska,49,True
20220217,386011,si,pomurska,60,True
20220217,386012,si,podravska,133,True
20220217,386013,si,koroska,34,True
20220217,386014,si,savinjska,67,True
20220217,386015,si,zasavska,12,True
20220217,386016,si,posavska,22,True
20220217,386017,si,jugovzhodna_slovenija,47,True
20220217,386021,si,osrednjeslovenska,207,True
20220217,386022,si,gorenjska,44,True
20220217,386023,si,goriska,51,True
20220217,386024,si,obalno_kraska,59,True
20220216,386011,si,pomurska,60,True
20220216,386012,si,podravska,142,True
20220216,386013,si,koroska,33,True
20220216,386014,si,savinjska,79,True
20220216,386015,si,zasavska,10,True
20220216,386016,si,posavska,16,True
20220216,386017,si,jugovzhodna_slovenija,44,True
20220216,386021,si,osrednjeslovenska,216,True
20220216,386022,si,gorenjska,45,True
20220216,386023,si,goriska,49,True
20220216,386024,si,obalno_kraska,62,True
20220215,386011,si,pomurska,65,True
20220215,386012,si,podravska,148,True
20220215,386013,si,koroska,30,True
20220215,386014,si,savinjska,74,True
20220215,386015,si,zasavska,11,True
20220215,386016,si,posavska,20,True
20220215,386017,si,jugovzhodna_slovenija,43,True
20220215,386021,si,osrednjeslovenska,223,True
20220215,386022,si,gorenjska,45,True
20220215,386023,si,goriska,47,True
20220215,386024,si,obalno_kraska,64,True
20220214,386011,si,pomurska,65,True
20220214,386012,si,podravska,150,True
20220214,386013,si,koroska,36,True
20220214,386014,si,savinjska,83,True
20220214,386015,si,zasavska,11,True
20220214,386016,si,posavska,24,True
20220214,386017,si,jugovzhodna_slovenija,44,True
20220214,386021,si,osrednjeslovenska,228,True
20220214,386022,si,gorenjska,44,True
20220214,386023,si,goriska,44,True
20220214,386024,si,obalno_kraska,65,True
20220213,386011,si,pomurska,66,True
20220213,386012,si,podravska,147,True
20220213,386013,si,koroska,36,True
20220213,386014,si,savinjska,84,True
20220213,386015,si,zasavska,11,True
20220213,386016,si,posavska,21,True
20220213,386017,si,jugovzhodna_slovenija,40,True
20220213,386021,si,osrednjeslovenska,227,True
20220213,386022,si,gorenjska,45,True
20220213,386023,si,goriska,39,True
20220213,386024,si,obalno_kraska,66,True
20220212,386011,si,pomurska,65,True
20220212,386012,si,podravska,144,True
20220212,386013,si,koroska,34,True
20220212,386014,si,savinjska,85,True
20220212,386015,si,zasavska,11,True
20220212,386016,si,posavska,20,True
20220212,386017,si,jugovzhodna_slovenija,45,True
20220212,386021,si,osrednjeslovenska,227,True
20220212,386022,si,gorenjska,45,True
20220212,386023,si,goriska,34,True
20220212,386024,si,obalno_kraska,64,True
20220211,386011,si,pomurska,65,True
20220211,386012,si,podravska,147,True
20220211,386013,si,koroska,35,True
20220211,386014,si,savinjska,85,True
20220211,386015,si,zasavska,9,True
20220211,386016,si,posavska,21,True
20220211,386017,si,jugovzhodna_slovenija,44,True
20220211,386021,si,osrednjeslovenska,229,True
20220211,386022,si,gorenjska,46,True
20220211,386023,si,goriska,46,True
20220211,386024,si,obalno_kraska,64,True
20220210,386011,si,pomurska,61,True
20220210,386012,si,podravska,149,True
20220210,386013,si,koroska,42,True
20220210,386014,si,savinjska,82,True
20220210,386015,si,zasavska,9,True
20220210,386016,si,posavska,20,True
